FIFO                      | LRU                       |OPT                      
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
page is already in memory | page is already in memory |page is already in memory
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
page is already in memory | page is already in memory |page is already in memory
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
